system,domain,n,seed,precision,recall,f1,f1_std,p_std,r_std,n_missing
JobBERT 3M ckpt65000,人工智能招聘,1407,2026,0.18567251461988304,0.10504549214226634,0.1341785525620708,,,,0
JobBERT 3M ckpt65000,人工智能招聘,1407,mean,0.1894049837168898,0.10414943479459608,0.13437089922784026,0.0021325868585889748,0.0032381787496114727,0.0026987554384411256,0
JobBERT 3M ckpt65000,阿里云公开数据集,457,42,0.17479674796747968,0.09839816933638444,0.1259150805270864,,,,0
JobBERT 3M ckpt65000,阿里云公开数据集,457,123,0.1945945945945946,0.10983981693363844,0.14041930765480254,,,,0
JobBERT 3M ckpt65000,阿里云公开数据集,457,2026,0.17408376963350786,0.10144927536231885,0.12819277108433735,,,,0
JobBERT 3M ckpt65000,阿里云公开数据集,457,mean,0.18115837073186072,0.10322908721078057,0.13150905308874208,0.0078000926848755025,0.011641570697002317,0.00592483101842412,0
JobBERT 3M ckpt65000,事业单位招聘,737,42,0.026595744680851064,0.010416666666666666,0.01497005988023952,,,,0
JobBERT 3M ckpt65000,事业单位招聘,737,123,0.027932960893854747,0.010416666666666666,0.015174506828528073,,,,0
JobBERT 3M ckpt65000,事业单位招聘,737,2026,0.020833333333333332,0.010416666666666666,0.013888888888888888,,,,0
JobBERT 3M ckpt65000,事业单位招聘,737,mean,0.025120679636013048,0.010416666666666666,0.01467781853255216,0.0006908379879929294,0.003772670213443795,0.0,0
RoBERTa-wwm v3,人工智能招聘,1407,42,0.17268041237113402,0.09698097601323408,0.12420550847457627,,,,0
RoBERTa-wwm v3,人工智能招聘,1407,123,0.1774193548387097,0.1000827129859388,0.12797461660497092,,,,0
RoBERTa-wwm v3,人工智能招聘,1407,2026,0.20070977917981073,0.10525227460711331,0.13809007053716765,,,,0
RoBERTa-wwm v3,人工智能招聘,1407,mean,0.1836031821298848,0.10077198786876206,0.13009006520557162,0.0071799448468512295,0.015003037722379712,0.004178506911008455,0
RoBERTa-wwm v3,阿里云公开数据集,457,42,0.15862944162436549,0.09534706331045004,0.1191043353978085,,,,0
RoBERTa-wwm v3,阿里云公开数据集,457,123,0.15841584158415842,0.09763539282990084,0.12081170363378953,,,,0
RoBERTa-wwm v3,阿里云公开数据集,457,2026,0.16548797736916548,0.08924485125858124,0.11595639246778991,,,,0
RoBERTa-wwm v3,阿里云公开数据集,457,mean,0.16084442019256312,0.09407576913297737,0.11862414383312932,0.00246301635880924,0.004022856408520635,0.004337330818518174,0
RoBERTa-wwm v3,事业单位招聘,737,42,0.018433179723502304,0.008333333333333333,0.011477761836441893,,,,0
RoBERTa-wwm v3,事业单位招聘,737,123,0.021739130434782608,0.010416666666666666,0.014084507042253521,,,,0
RoBERTa-wwm v3,事业单位招聘,737,2026,0.022099447513812154,0.008333333333333333,0.012102874432677761,,,,0
RoBERTa-wwm v3,事业单位招聘,737,mean,0.02075725255736569,0.009027777777777777,0.012555047770457725,0.0013609282448221812,0.002020753077985144,0.00120281306081172,0
ChatGPT (gpt-4o),人工智能招聘,1407,dump,0.6354806739345887,0.662944582299421,0.6489221738690416,,,,0
ChatGPT (gpt-4o),阿里云公开数据集,457,dump,0.5647865853658537,0.5652173913043478,0.5650019062142584,,,,0
ChatGPT (gpt-4o),事业单位招聘,737,dump,0.6981519507186859,0.7083333333333334,0.703205791106515,,,,0
Claude filled (haiku+98 sonnet-4-6),人工智能招聘,1407,dump,0.2775679758308157,0.303970223325062,0.29016975917883936,,,,0
Claude filled (haiku+98 sonnet-4-6),阿里云公开数据集,457,dump,0.2318454363757495,0.2654462242562929,0.24751066856330012,,,,0
Claude filled (haiku+98 sonnet-4-6),事业单位招聘,737,dump,0.07959905660377359,0.28125,0.1240808823529412,,,,0
"Kimi (kimi-k2-0711-preview, 293 missing)",人工智能招聘,1407,dump,0.1718873387733614,0.13502894954507857,0.1512449334105385,,,,246
"Kimi (kimi-k2-0711-preview, 293 missing)",阿里云公开数据集,457,dump,0.1935193519351935,0.16399694889397406,0.17753922378199835,,,,47
"Kimi (kimi-k2-0711-preview, 293 missing)",事业单位招聘,737,dump,0.09274873524451939,0.11458333333333333,0.10251630941286113,,,,0
DeepSeek (deepseek-r1),人工智能招聘,1407,dump,0.14627477785372522,0.1327543424317618,0.13918699186991873,,,,0
DeepSeek (deepseek-r1),阿里云公开数据集,457,dump,0.13556485355648534,0.12356979405034325,0.12928970470869913,,,,0
DeepSeek (deepseek-r1),事业单位招聘,737,dump,0.07782101167315175,0.08333333333333333,0.08048289738430583,,,,0
Qwen (Qwen2.5-14B-Instruct),人工智能招聘,1407,dump,0.245088868101029,0.054177005789909014,0.08873835732430145,,,,0
Qwen (Qwen2.5-14B-Instruct),阿里云公开数据集,457,dump,0.17333333333333334,0.03966437833714721,0.06455617628801986,,,,0
Qwen (Qwen2.5-14B-Instruct),事业单位招聘,737,dump,0.06,0.0125,0.020689655172413796,,,,0
